Date,S&P500 Value,Shiller P/E Value
2020-12-30 00:00:00,"3,732.04",33.7
2020-12-29 00:00:00,"3,727.04",33.7
2020-12-28 00:00:00,"3,735.36",33.7
2020-12-24 00:00:00,"3,703.06",33.7
2020-12-23 00:00:00,"3,690.01",33.7
2020-12-22 00:00:00,"3,687.26",33.7
2020-12-21 00:00:00,"3,694.92",33.7
2020-12-18 00:00:00,"3,709.41",33.7
2020-12-17 00:00:00,"3,722.48",33.7
2020-12-16 00:00:00,"3,701.17",33.7
2020-12-15 00:00:00,"3,694.62",33.7
2020-12-14 00:00:00,"3,647.49",33.7
2020-12-11 00:00:00,"3,663.46",33.7
2020-12-10 00:00:00,"3,668.10",33.7
2020-12-09 00:00:00,"3,672.82",33.7
2020-12-08 00:00:00,"3,702.25",33.7
2020-12-07 00:00:00,"3,691.96",33.7
2020-12-04 00:00:00,"3,699.12",33.7
2020-12-03 00:00:00,"3,666.72",33.7
2020-12-02 00:00:00,"3,669.01",33.7
2020-12-01 00:00:00,"3,662.45",33.08
2020-11-30 00:00:00,"3,621.63",32.44
2020-11-27 00:00:00,"3,638.35",32.44
2020-11-25 00:00:00,"3,629.65",32.44
2020-11-24 00:00:00,"3,635.41",32.44
2020-11-23 00:00:00,"3,577.59",32.44
2020-11-20 00:00:00,"3,557.54",32.44
2020-11-19 00:00:00,"3,581.87",32.44
2020-11-18 00:00:00,"3,567.79",32.44
2020-11-17 00:00:00,"3,609.53",32.44
2020-11-16 00:00:00,"3,626.91",32.44
2020-11-13 00:00:00,"3,585.15",32.44
2020-11-12 00:00:00,"3,537.01",32.44
2020-11-11 00:00:00,"3,572.66",32.44
2020-11-10 00:00:00,"3,545.53",32.44
2020-11-09 00:00:00,"3,550.50",32.44
2020-11-06 00:00:00,"3,509.44",32.44
2020-11-05 00:00:00,"3,510.45",32.44
2020-11-04 00:00:00,"3,443.44",32.44
2020-11-03 00:00:00,"3,369.16",32.44
2020-11-02 00:00:00,"3,310.24",32.44
2020-10-30 00:00:00,"3,269.96",31.28
2020-10-29 00:00:00,"3,310.11",31.28
2020-10-28 00:00:00,"3,271.03",31.28
